,pospair,negpair
0,*MOT: what is that ?	*CHI: it looks like a gun .,*MOT: what is that ?	*CHI: you do it like that .
1,*MOT: pull the string .	*CHI: and where do they hook it ?,*MOT: pull the string .	*CHI: do you know what it was ? 
2,*MOT: I think they just throw it on the side .	*CHI: you know what Mom ?,*MOT: I think they just throw it on the side .	*CHI: I get this hole .
3,*MOT: what are you playing with huh toys ?	*CHI: there's a dog .,*MOT: what are you playing with huh toys ?	*CHI: there's the sports .
4,*MOT: the bottom ones come off .	*CHI: want to know what ?,*MOT: the bottom ones come off .	*CHI: we stole the brush .
5,*MOT: can you say that ?	*CHI: okay the hungry hungry caterpillar .,*MOT: can you say that ?	*CHI: yeah I want that too .
6,*MOT: what is it ?	*CHI: a baby caterpillar !,*MOT: what is it ?	*CHI: I'm just pretending .
7,*MOT: what is it ?	*CHI: I don't .. know !,*MOT: what is it ?	*CHI: put my dress down .
8,*MOT: how many apples are there ?	*CHI: three of them .,*MOT: how many apples are there ?	*CHI: I don't know .
9,*MOT: how many are there ?	*CHI: two of them !,*MOT: how many are there ?	*CHI: that's a fire .
10,*MOT: what is that ?	*CHI: a little worm !,*MOT: what is that ?	*CHI: a in there .
11,*MOT: now what were you supposed to do with that ant hill ?	*CHI: I saw it .,*MOT: now what were you supposed to do with that ant hill ?	*CHI: all of them .
12,*MOT: what did they have at Uncle Gordy's house that you liked ?	*CHI: the little cats .,*MOT: what did they have at Uncle Gordy's house that you liked ?	*CHI: to Mimi Papa's .
13,*MOT: what's the name of that lady ?	*CHI: I don't know .,*MOT: what's the name of that lady ?	*CHI: it is stuck .
14,*MOT: what is this ?	*CHI: a Snoopy dog .,*MOT: what is this ?	*CHI: dolly can't talk .
15,*MOT: you going to tell him what you got ?	*CHI: a Snoopy dog house .,*MOT: you going to tell him what you got ?	*CHI: but it's the snow .
16,*MOT: oh what is that ?	*CHI: Cody broke his motorcycle .,*MOT: oh what is that ?	*CHI: now you pay me .
17,*MOT: hey what's that coming down the street ?	*CHI: a big a big dump truck .,*MOT: hey what's that coming down the street ?	*CHI: they're going pick up their boy .
18,*MOT: oh my gosh what'd you do to that band aid ?	*CHI: I'm doing something silly .,*MOT: oh my gosh what'd you do to that band aid ?	*CHI: uhg uguh ugeh akeh .
19,*MOT: he's got to get some pizza ?	*CHI: and Kit Kat .,*MOT: he's got to get some pizza ?	*CHI: Karin and Child .
20,*MOT: is that for the rocks ?	*CHI: I spray you up .,*MOT: is that for the rocks ?	*CHI: it's going on soon .
21,*MOT: is that fun ?	*CHI: I'm sleeping at beach .,*MOT: is that fun ?	*CHI: is there baby one ?
22,*MOT: do you think those came with the rescue set from Margaret ?	*CHI: yes they did .,*MOT: do you think those came with the rescue set from Margaret ?	*CHI: where is it ?
23,*MOT: is it the hose ?	*CHI: no it's a hook .,*MOT: is it the hose ?	*CHI: is it is it .
24,*MOT: is that for baby Rory ?	*CHI: all the water has gone in this pump .,*MOT: is that for baby Rory ?	*CHI: the boogie man going to beat you up .
25,*MOT: what can you see outside ?	*CHI: just a tree blowing on the wind .,*MOT: what can you see outside ?	*CHI: I want to put them in and .
26,*MOT: yes three pairs of scissors .	*CHI: I like bluey !,*MOT: yes three pairs of scissors .	*CHI: a red basketball .
27,*MOT: now what do you think to that ?	*CHI: they don't cut .,*MOT: now what do you think to that ?	*CHI: you squished them .
28,*MOT: why Auntie Frank ?	*CHI: because it is a name .,*MOT: why Auntie Frank ?	*CHI: I want some more cars .
29,*MOT: where's the pussy cat ?	*CHI: on this piece of paper I nearly snipped .,*MOT: where's the pussy cat ?	*CHI: I'm trying to see his head's in it .
30,*MOT: now would you like a little bit of glue ?	*CHI: oh yes please .,*MOT: now would you like a little bit of glue ?	*CHI: which back garden ?
31,*MOT: oh that's nice .	*CHI: did you cut a tail off ?,"*MOT: oh that's nice .	*CHI: Mommy, what should we do ourselves ?"
32,*MOT: do you think you would ?	*CHI: tell everybody I want it .,*MOT: do you think you would ?	*CHI: one two three four five .
33,*MOT: again I'm going to leave the size on it .	*CHI: where's my picture ?,*MOT: again I'm going to leave the size on it .	*CHI: on the table .
34,*MOT: you got it ?	*CHI: I am going back next door to my house .,*MOT: you got it ?	*CHI: I don't want a little jelly on top cake .
